timestamp,open,high,low,close,volume
2025-01-24,221.5500,221.5500,214.5500,215.8000,1970452
2025-01-23,219.7500,223.4000,216.5500,221.9000,4752277
2025-01-22,207.4000,218.1000,203.8000,216.4500,8129460
2025-01-21,223.1000,227.0500,210.1500,214.6500,17585870
2025-01-20,251.6000,254.4500,228.8000,240.9500,3661578
2025-01-17,245.0500,250.7500,240.6500,248.7500,2711604
2025-01-16,249.4000,261.7500,241.0000,242.0000,3938172
2025-01-15,235.6500,246.0000,235.4000,244.0000,2913919
2025-01-14,232.5500,237.5000,230.0500,233.8000,4780104
2025-01-13,238.7000,240.4500,226.1500,227.1500,4480006
2025-01-10,245.3000,246.4000,237.5000,243.0000,1946953
2025-01-09,251.8000,252.4000,244.2000,245.2000,1283165
2025-01-08,251.5000,252.8500,244.2500,250.0000,3415162
2025-01-07,258.4500,259.2000,251.4000,252.5000,2989041
2025-01-06,274.3500,274.9000,262.2500,264.6500,1637517
2025-01-03,285.6500,285.6500,271.7000,272.7000,2522128
2025-01-02,278.6500,286.0000,276.0000,284.8500,1629465
2025-01-01,278.6500,279.2500,276.0500,276.5000,561971
2024-12-31,278.8500,281.7000,274.8500,278.0000,1469957
2024-12-30,271.0000,291.5000,269.9500,282.9000,2436750
2024-12-27,274.9000,275.9500,269.6500,271.1500,1150106
2024-12-26,276.9000,276.9000,271.2500,273.2000,1030112
2024-12-24,274.8500,277.0000,269.0500,274.7500,1388939
2024-12-23,273.9500,282.9000,272.0000,273.9000,2201727
2024-12-20,290.6000,290.6000,274.0500,281.8500,2156357
2024-12-19,287.8000,290.1000,284.8500,288.4500,2197266
2024-12-18,297.8000,297.8000,290.0500,291.9000,2190522
2024-12-17,295.9000,303.4000,292.2500,296.8000,5402587
2024-12-16,289.5000,295.8500,286.4500,294.2500,2547473
2024-12-13,279.8000,289.0000,277.9000,288.4000,3558407
2024-12-12,292.0000,294.9500,284.0000,284.9000,2205919
2024-12-11,290.0000,294.2000,288.8000,291.8000,2454030
2024-12-10,297.0000,299.4500,295.0500,295.9000,1177467
2024-12-09,304.5000,304.5000,291.6500,295.2500,3404840
2024-12-06,300.4000,303.8000,296.2500,303.0000,3059386
2024-12-05,288.1000,304.5000,287.0500,299.5000,7892283
2024-12-04,283.0000,288.0000,283.0000,286.3000,3035120
2024-12-03,280.4500,282.5000,279.0000,279.8500,1328314
2024-12-02,280.9000,285.8000,280.2000,282.5000,1039873
2024-11-29,286.9500,287.5000,273.7000,279.5000,2086273
2024-11-28,286.0000,288.2500,281.4000,286.1000,2040402
2024-11-27,281.7000,289.7000,278.8000,284.5000,5912846
2024-11-26,274.5000,281.0000,272.7500,280.1500,3419716
2024-11-25,273.0000,284.3000,271.2500,273.6000,3458910
2024-11-22,267.4000,268.9500,262.6000,264.1500,1085883
2024-11-21,273.5500,275.3500,262.2500,266.7500,2299408
2024-11-20,271.3500,271.3500,271.3500,271.3500,0
2024-11-19,271.2500,272.6500,267.7000,271.3500,1244190
2024-11-18,274.3000,274.5000,269.4000,270.7000,1782018
2024-11-14,261.1500,270.8500,260.8000,269.6000,6668686
2024-11-13,257.9000,263.2500,254.6000,258.5500,4890081
2024-11-12,260.0000,264.9000,255.4000,261.0000,2383782
2024-11-11,247.9500,259.5000,244.0000,258.5000,3160509
2024-11-08,257.7500,258.0500,246.1500,249.1000,1507556
2024-11-07,257.9000,262.4000,254.0000,255.1500,4356590
2024-11-06,243.2000,256.0000,243.2000,254.9500,4684078
2024-11-05,243.7500,246.4000,239.6000,242.1500,2515487
2024-11-04,243.6000,246.9000,240.0000,245.1500,2836452
2024-11-01,245.0000,250.0000,244.1500,249.0500,1171064
2024-10-31,248.0000,248.7500,240.4500,241.8000,1298453
2024-10-30,249.4000,250.4500,245.1000,246.7500,1562981
2024-10-29,255.4000,255.8000,248.5000,252.2000,2430081
2024-10-28,253.7500,259.2000,247.1000,253.9500,3716057
2024-10-25,254.4500,257.9000,246.5500,253.8500,4763085
2024-10-24,267.4000,268.2500,252.5000,254.3000,2619088
2024-10-23,256.3500,268.0000,242.4500,263.8500,6876109
2024-10-22,267.6500,271.0000,252.7000,256.2000,5916676
2024-10-21,259.9500,267.0000,254.5000,265.7000,3973738
2024-10-18,256.0500,270.3000,256.0000,257.4000,6827738
2024-10-17,276.9500,276.9500,268.5500,270.6500,1059787
2024-10-16,278.4500,279.0000,273.0000,274.2000,782987
2024-10-15,283.0000,283.0000,276.2500,279.3500,812716
2024-10-14,282.2500,285.1000,278.0500,279.8000,6192295
2024-10-11,276.8500,278.8000,275.5000,277.5000,741002
2024-10-10,280.9500,282.1500,274.1000,275.1500,1228361
2024-10-09,279.8500,289.7500,275.3500,279.7000,4399866
2024-10-08,265.0500,280.8000,262.6000,279.0000,3636125
2024-10-07,278.4500,279.0000,261.7500,266.3500,2233524
2024-10-04,267.0500,277.9000,264.4000,275.2000,2204022
2024-10-03,268.7000,272.3500,268.0000,268.8000,3331216
2024-10-01,272.7000,276.4000,271.4000,274.1500,2324023
2024-09-30,277.4000,277.8500,272.1500,273.3000,2746456
2024-09-27,275.9500,286.4500,273.5000,278.2500,2298181
2024-09-26,286.4500,286.4500,278.5000,283.8500,3047792
2024-09-25,291.8000,291.9500,282.9500,285.4000,1680959
2024-09-24,298.2000,298.2000,290.2000,291.6500,1588408
2024-09-23,291.7000,298.0500,290.6500,296.9000,3640354
2024-09-20,279.3500,292.9000,278.9500,290.7000,6958305
2024-09-19,276.2500,280.8500,272.3500,278.8500,2389468
2024-09-18,270.9000,277.7000,269.8000,275.7500,3102759
2024-09-17,277.7000,277.9500,270.0500,270.8000,2632466
2024-09-16,275.0000,281.7500,269.5000,277.7500,4388947
2024-09-13,285.7000,286.5000,271.0500,272.9000,5945209
2024-09-12,276.0000,285.9500,274.5000,283.9000,4379658
2024-09-11,268.5000,281.4000,268.0500,271.7000,5270065
2024-09-10,265.6500,270.0000,259.6000,267.6000,5243217
2024-09-09,260.0500,265.0000,256.3000,263.2000,5033112
